year,month,county,species,region,stocked_fish _stk,biomass_ton,released_smolt_stk,feed_given_ton,harvested_stk,harvested_ton,dead_fish_stk,draft_stk,escape_stk,other_stk,time,FCR_year,gained_weight
2005,01,1_Troms og Finnmark,rainbow trout,1_North,551.9,1016.2,0.0,120.1,40.5,178.5,0.9,0.5,0.0,0.7,2005-01,1.2192090333007273,
2005,02,1_Troms og Finnmark,rainbow trout,1_North,551.0,1101.0,0.0,91.1,0.0,0.0,0.9,0.0,0.0,0.0,2005-02,1.2192090333007273,
2005,03,1_Troms og Finnmark,rainbow trout,1_North,673.7,1223.1,86.7,101.3,0.0,0.0,1.2,0.0,0.0,0.0,2005-03,1.2192090333007273,
2005,04,1_Troms og Finnmark,rainbow trout,1_North,667.6,1321.5,0.0,122.8,0.0,0.0,3.9,0.0,0.0,0.0,2005-04,1.2192090333007273,
2005,05,1_Troms og Finnmark,rainbow trout,1_North,1079.3,1419.9,440.7,157.2,14.7,47.3,16.0,0.0,0.0,0.0,2005-05,1.2192090333007273,
2005,06,1_Troms og Finnmark,rainbow trout,1_North,1097.8,1664.4,38.2,386.4,16.8,59.0,1.6,0.0,0.0,0.0,2005-06,1.2192090333007273,
2005,07,1_Troms og Finnmark,rainbow trout,1_North,1093.4,2056.8,0.0,544.2,0.0,0.0,4.3,0.0,0.0,0.0,2005-07,1.2192090333007273,
2005,08,1_Troms og Finnmark,rainbow trout,1_North,993.7,1974.1,0.0,451.2,76.0,362.6,3.0,0.0,0.0,0.0,2005-08,1.2192090333007273,
2005,09,1_Troms og Finnmark,rainbow trout,1_North,1197.1,1355.8,459.1,338.6,177.6,754.6,86.9,0.1,0.0,0.0,2005-09,1.2192090333007273,
2005,10,1_Troms og Finnmark,rainbow trout,1_North,1304.8,1021.1,241.5,278.4,123.0,479.3,2.5,0.0,0.0,0.0,2005-10,1.2192090333007273,
2005,11,1_Troms og Finnmark,rainbow trout,1_North,1203.3,932.2,0.0,246.2,127.9,470.0,2.5,0.0,0.0,0.0,2005-11,1.2192090333007273,
2005,12,1_Troms og Finnmark,rainbow trout,1_North,1230.3,1106.0,0.0,231.8,0.0,0.0,223.8,0.0,0.0,0.0,2005-12,1.2192090333007273,
