,variable,value,category
0,North Atlantic,90.49,Fish meal
1,South Atlantic including African Atlantic,2.21,Fish meal
2,Mexican Gulf,0.37,Fish meal
3,Pacific,3.28,Fish meal
4,Others,0.48,Fish meal
5,By-products from North Atlantic,3.18,Fish meal
6,By-products from aqua culture,0.0,Fish meal
0,North Atlantic,37.53,Fish oil
1,South Atlantic including African Atlantic,4.26,Fish oil
2,Mexican Gulf,16.99,Fish oil
3,Pacific,15.79,Fish oil
4,Others,4.68,Fish oil
5,By-products from North Atlantic,18.21,Fish oil
6,By-products from aqua culture,2.53,Fish oil
