,name,category,value
0,Rapeseed and camelina oil,plant oil,322.58
1,Soy protein concentrate,plant protein,309.71
2,Wheat gluten,plant protein,146.27
3,Wheat,starch,144.61
4,Maize gluten,plant protein,57.97
5,Fababeans,plant protein,54.75
6,Other vegetable protein,plant protein,37.42
7,Pea protein concentrate,plant protein,21.94
8,Sunflowermeal,plant protein,18.55
9,Other plant carbohydrates,starch,15.71
10,Pea starch,starch,12.3
11,Sunflower protein,plant protein,8.69
12,Linseed oil,plant oil,5.63
