Year,Week,time,FPI EUR,FPI NOK,Currency,3-4 Kg,4-5 Kg,5-6 Kg,3-4 Kg EUR,4-5 Kg EUR,5-6 Kg EUR
2006,1,2006-01-02,3.11,24.71,7.9475,,,,,,
2006,2,2006-01-09,3.13,25.05,8.0145,,,,,,
2006,3,2006-01-16,3.32,26.89,8.0986,,,,,,
2006,4,2006-01-23,3.58,28.84,8.0567,,,,,,
2006,5,2006-01-30,3.29,26.52,8.0702,,,,,,
2006,6,2006-02-06,3.25,26.16,8.0402,,,,,,
2006,7,2006-02-13,3.22,26.07,8.1085,,,,,,
2006,8,2006-02-20,3.35,26.96,8.052,,,,,,
2006,9,2006-02-27,3.55,28.48,8.0202,,,,,,
2006,10,2006-03-06,3.77,30.1,7.9942,,,,,,
2006,11,2006-03-13,3.87,30.89,7.9759,,,,,,
2006,12,2006-03-20,4.0,31.86,7.9572,,,,,,
2006,13,2006-03-27,4.38,34.85,7.959,,,,,,
2006,14,2006-04-03,4.65,36.65,7.89,,,,,,
2006,15,2006-04-10,4.56,35.85,7.86,,,,,,
2006,16,2006-04-17,4.54,35.51,7.83,,,,,,
2006,17,2006-04-24,4.66,36.43,7.81,,,,,,
2006,18,2006-05-01,4.89,37.98,7.76,,,,,,
2006,19,2006-05-08,4.75,36.98,7.78,,,,,,
2006,20,2006-05-15,4.82,37.72,7.82,,,,,,
2006,21,2006-05-22,5.26,41.14,7.82,,,,,,
2006,22,2006-05-29,5.4,42.13,7.8,,,,,,
2006,23,2006-06-05,5.38,41.94,7.8,,,,,,
2006,24,2006-06-12,5.46,42.75,7.83,,,,,,
2006,25,2006-06-19,5.64,44.65,7.91,,,,,,
2006,26,2006-06-26,5.65,44.77,7.92,,,,,,
2006,27,2006-07-03,4.87,38.8,7.96,,,,,,
2006,28,2006-07-10,4.85,38.58,7.95,,,,,,
2006,29,2006-07-17,5.0,39.63,7.93,,,,,,
2006,30,2006-07-24,4.79,37.96,7.92,,,,,,
2006,31,2006-07-31,4.78,37.65,7.87,,,,,,
2006,32,2006-08-07,4.73,37.5,7.93,,,,,,
2006,33,2006-08-14,4.61,37.04,8.04,,,,,,
2006,34,2006-08-21,4.48,36.09,8.05,,,,,,
2006,35,2006-08-28,4.02,32.44,8.07,,,,,,
2006,36,2006-09-04,3.73,30.44,8.16,,,,,,
2006,37,2006-09-11,3.65,30.36,8.32,,,,,,
2006,38,2006-09-18,3.6,29.81,8.29,,,,,,
2006,39,2006-09-25,3.36,27.87,8.29,,,,,,
2006,40,2006-10-02,3.15,26.42,8.39,,,,,,
2006,41,2006-10-09,3.23,27.21,8.42,,,,,,
2006,42,2006-10-16,3.34,28.29,8.46,,,,,,
2006,43,2006-10-23,3.28,27.35,8.35,,,,,,
2006,44,2006-10-30,3.11,25.79,8.29,,,,,,
2006,45,2006-11-06,3.05,25.13,8.24,,,,,,
