from,to
ÅR,YEAR
MÅNED_KODE,Month_code
MÅNED,MONTH
FYLKE,County
ARTSID,Species
UTSETTSÅR,Release
BEHFISK_STK,BeHFISK_STK
BIOMASSE_KG,Biomass_kg
UTSETT_SMOLT_STK,Postpone_smolt_stk
FORFORBRUK_KG,Pre -use_kg
UTTAK_STK,Outlet_stk
UTTAK_KG,Outlet_kg
DØDFISK_STK,Deadfisk_stk
UTKAST_STK,Draft_stk
RØMMING_STK,Escape_stk
ANDRE_STK,Andre_stk
MØRE OG ROMSDAL,MØRE AND ROMSDAL
NORDLAND,Nordland
ROGALAND OG AGDER,Rogaland and Agder
TROMS OG FINNMARK,Troms and Finnmark
TRØNDELAG,Trøndelag
VESTLAND,Westland
UOPPGITT,Unspoked
LAKS,SALMON
REGNBUEØRRET,Rainbow
JANUAR,JANUARY
FEBRUAR,FEBRUARY
MARS,MARCH
APRIL,APRIL
MAI,MAY
JUNI,JUNE
JULI,JULY
AUGUST,AUGUST
SEPTEMBER,SEPTEMBER
OKTOBER,OCTOBER
NOVEMBER,NOVEMBER
DESEMBER,DECEMBER
