key,value
AGDER,6_Rogaland og Agder
ANDRE_STK,other_stk
APRIL,04
ARTSID,species
AUGUST,08
BEHFISK_STK,stocked_fish _stk
BIOMASSE_KG,biomass_kg
DESEMBER,12
DØDFISK_STK,dead_fish_stk
FEBRUAR,02
FINNMARK,1_Troms og Finnmark
FORFORBRUK_KG,feed_given_kg
FYLKE,county
HEDMARK,7_Hedmark
HORDALAND,5_Vestland
INNLANDET,7_Innlandet
JANUAR,01
JULI,07
JUNI,06
LAKS,salmon
MAI,05
MARS,03
MÅNED,month
MÅNED_KODE,month_code
MØRE OG ROMSDAL,4_Møre og Romsdal
NORDLAND,2_Nordland
NOVEMBER,11
OKTOBER,10
OSLO,7_oslo
REGNBUEØRRET,rainbow trout
ROGALAND,6_Rogaland og Agder
ROGALAND OG AGDER,6_Rogaland og Agder
RØMMING_STK,escape_stk
SEPTEMBER,09
SOGN OG FJORDANE,5_Vestland
TROMS,1_Troms og Finnmark
TROMS OG FINNMARK,1_Troms og Finnmark
TRØNDELAG,3_Trøndelag
UOPPGITT,unspecified
UTKAST_STK,draft_stk
UTSETTSÅR,released_year
UTSETT_SMOLT_STK,released_smolt_stk
UTTAK_KG,harvested_kg
UTTAK_STK,harvested_stk
VEST-AGDER,6_Rogaland og Agder
VESTFOLD OG TELEMARK,7_Vestfold og Telemark
VESTLAND,5_Vestland
VIKEN,7_Viken
ÅR,year
